Ward,Precinct,PrecinctName,Tot_Register,Tot_Vote,Vote%,Pro_Weight,Act_Weight,Representation%,Voting%
1.0,W-1 P-1,Saint Paul W-1 P-1,1191.0,633,53.15%,0.006957344642669377,0.010713016399546431,153.98139591710793,53.14861460957179
1.0,W-1 P-2,Saint Paul W-1 P-2,2324.0,803,34.55%,0.013575876531959389,0.013590129808587337,100.10498973377074,34.55249569707401
1.0,W-1 P-3,Saint Paul W-1 P-3,1916.0,468,24.43%,0.011192504059911441,0.007920523973124377,70.76632655862576,24.4258872651357
1.0,W-1 P-4,Saint Paul W-1 P-4,1440.0,348,24.17%,0.008411902842522169,0.005889620390271972,70.01531639785401,24.166666666666668
1.0,W-1 P-5,Saint Paul W-1 P-5,1390.0,363,26.12%,0.00811982288271237,0.0061434833381285225,75.66031213819204,26.115107913669064
1.0,W-1 P-6,Saint Paul W-1 P-6,2881.0,1012,35.13%,0.016829647284240534,0.017127286882055275,101.76854329022957,35.12669212079139
1.0,W-1 P-7,Saint Paul W-1 P-7,1553.0,736,47.39%,0.009072003551692312,0.012456208641494744,137.30383338718087,47.39214423696072
1.0,W-1 P-8,Saint Paul W-1 P-8,2241.0,839,37.44%,0.013091023798675125,0.01419940088344306,108.46669520897294,37.43864346273985
1.0,W-1 P-9,Saint Paul W-1 P-9,2435.0,401,16.47%,0.01422429404273714,0.006786602806031784,47.71135063463478,16.468172484599588
1.0,W-1 P-10,Saint Paul W-1 P-10,496.0,81,16.33%,0.0028974332013131914,0.0013708599184253727,47.31290846684796,16.330645161290324
1.0,W-1 P-11,Saint Paul W-1 P-11,1298.0,202,15.56%,0.0075823957566623435,0.0034186876978015467,45.08717043419534,15.562403697996919
1.0,W-1 P-12,Saint Paul W-1 P-12,344.0,154,44.77%,0.002009510123491407,0.002606326264660585,129.69958370412408,44.76744186046512
1.0,W-1 P-13,Saint Paul W-1 P-13,1207.0,529,43.83%,0.007050810229808513,0.008952899961074349,126.97689583566473,43.82767191383596
1.0,W-1 P-14,Saint Paul W-1 P-14,991.0,174,17.56%,0.005789024803430187,0.002944810195135986,50.86884743335508,17.558022199798184
1.0,W-1 P-15,Saint Paul W-1 P-15,833.0,136,16.33%,0.004866052130431227,0.0023016907272327245,47.30098785498934,16.3265306122449
1.0,W-1 P-16,Saint Paul W-1 P-16,260.0,88,33.85%,0.0015188157910109472,0.001489329294091763,98.0585863609202,33.84615384615385
2.0,W-2 P-1,Saint Paul W-2 P-1,1633.0,819,50.15%,0.009539331487387987,0.013860916952967657,145.3028125848574,50.153092467850584
2.0,W-2 P-2,Saint Paul W-2 P-2,1740.0,845,48.56%,0.010164382601380953,0.014300946062585678,140.6966524522869,48.5632183908046
2.0,W-2 P-3,Saint Paul W-2 P-3,2872.0,1039,36.18%,0.01677707289147477,0.017584240188197067,104.81113303818603,36.17688022284123
2.0,W-2 P-4,Saint Paul W-2 P-4,1585.0,653,41.20%,0.009258934725970582,0.011051500330021832,119.36038709748374,41.198738170347006
2.0,W-2 P-5,Saint Paul W-2 P-5,2495.0,1040,41.68%,0.014574789994508897,0.017601164384720834,120.76444594640566,41.68336673346693
2.0,W-2 P-6,Saint Paul W-2 P-6,660.0,232,35.15%,0.0038554554694893274,0.003926413593514648,101.84046021506039,35.15151515151515
2.0,W-2 P-7,Saint Paul W-2 P-7,2451.0,814,33.21%,0.014317759629876275,0.013776295970348807,96.21823753488906,33.2109343125255
2.0,W-2 P-8,Saint Paul W-2 P-8,1323.0,363,27.44%,0.007728435736567243,0.0061434833381285225,79.4919379229682,27.43764172335601
2.0,W-2 P-9,Saint Paul W-2 P-9,2094.0,724,34.57%,0.01223230871683432,0.012253118283209505,100.17011969577376,34.57497612225406
2.0,W-2 P-11,Saint Paul W-2 P-11,2863.0,870,30.39%,0.016724498498709005,0.01472405097567993,88.0388190821776,30.38770520433112
